speciesName,status,fbSpecCode,validName,class,order,family,genus,commonName,commonSpecies
Acipenser baerii,accepted name,4683,Acipenser baerii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Siberian sturgeon,FALSE
Acipenser baeri,synonym,4683,Acipenser baerii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Siberian sturgeon,FALSE
Acipenser baeri baicalensis,synonym,4683,Acipenser baerii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Siberian sturgeon,FALSE
Acipenser baeri stenorrhynchus,synonym,4683,Acipenser baerii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Siberian sturgeon,FALSE
Acipenser baerii baerii,synonym,4683,Acipenser baerii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Siberian sturgeon,FALSE
Acipenser baerii baicalensis,synonym,4683,Acipenser baerii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Siberian sturgeon,FALSE
Acipenser baerii baikalensis,synonym,4683,Acipenser baerii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Siberian sturgeon,FALSE
Acipenser baerii stenorrhynchus,synonym,4683,Acipenser baerii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Siberian sturgeon,FALSE
Acipenser baieri,synonym,4683,Acipenser baerii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Siberian sturgeon,FALSE
Acipenser stenorrhynchus,synonym,4683,Acipenser baerii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Siberian sturgeon,FALSE
Acipenser stenorrhynchus baicalensis,synonym,4683,Acipenser baerii,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Siberian sturgeon,FALSE
Alopias superciliosus,accepted name,2534,Alopias superciliosus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Bigeye thresher,FALSE
Alopecias superciliosus,synonym,2534,Alopias superciliosus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Bigeye thresher,FALSE
Alopias profundus,synonym,2534,Alopias superciliosus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Bigeye thresher,FALSE
Alopias superciliousus,synonym,2534,Alopias superciliosus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Bigeye thresher,FALSE
Beryx splendens,accepted name,1320,Beryx splendens,Teleostei,Beryciformes,Berycidae,Beryx,Splendid alfonsino,FALSE
Bryx splendens,synonym,1320,Beryx splendens,Teleostei,Beryciformes,Berycidae,Beryx,Splendid alfonsino,FALSE
Parablennius pilicornis,accepted name,16962,Parablennius pilicornis,Teleostei,Blenniiformes,Blenniidae,Parablennius,Ringneck blenny,FALSE
Blennius ater,synonym,16962,Parablennius pilicornis,Teleostei,Blenniiformes,Blenniidae,Parablennius,Ringneck blenny,FALSE
Blennius fascigula,synonym,16962,Parablennius pilicornis,Teleostei,Blenniiformes,Blenniidae,Parablennius,Ringneck blenny,FALSE
Blennius filicornis,synonym,16962,Parablennius pilicornis,Teleostei,Blenniiformes,Blenniidae,Parablennius,Ringneck blenny,FALSE
Blennius niger,synonym,16962,Parablennius pilicornis,Teleostei,Blenniiformes,Blenniidae,Parablennius,Ringneck blenny,FALSE
Blennius pantherinus,synonym,16962,Parablennius pilicornis,Teleostei,Blenniiformes,Blenniidae,Parablennius,Ringneck blenny,FALSE
Blennius pilicornis,synonym,16962,Parablennius pilicornis,Teleostei,Blenniiformes,Blenniidae,Parablennius,Ringneck blenny,FALSE
Blennius pilicornis euskalherriensis,synonym,16962,Parablennius pilicornis,Teleostei,Blenniiformes,Blenniidae,Parablennius,Ringneck blenny,FALSE
Blennius trifascigula,synonym,16962,Parablennius pilicornis,Teleostei,Blenniiformes,Blenniidae,Parablennius,Ringneck blenny,FALSE
Blennius vandervekeni,synonym,16962,Parablennius pilicornis,Teleostei,Blenniiformes,Blenniidae,Parablennius,Ringneck blenny,FALSE
Pictiblennius niger,synonym,16962,Parablennius pilicornis,Teleostei,Blenniiformes,Blenniidae,Parablennius,Ringneck blenny,FALSE
Parablennius ruber,accepted name,16330,Parablennius ruber,Teleostei,Blenniiformes,Blenniidae,Parablennius,Portuguese blenny,FALSE
Sphyraena viridensis,accepted name,10202,Sphyraena viridensis,Teleostei,Carangaria/misc,Sphyraenidae,Sphyraena,Yellowmouth barracuda,FALSE
Sphyraena viridensis mediterranea,synonym,10202,Sphyraena viridensis,Teleostei,Carangaria/misc,Sphyraenidae,Sphyraena,Yellowmouth barracuda,FALSE
Sphyraena viridiscens,synonym,10202,Sphyraena viridensis,Teleostei,Carangaria/misc,Sphyraenidae,Sphyraena,Yellowmouth barracuda,FALSE
Caranx crysos,accepted name,1933,Caranx crysos,Teleostei,Carangiformes,Carangidae,Caranx,Blue runner,FALSE
Carangoides crysos,synonym,1933,Caranx crysos,Teleostei,Carangiformes,Carangidae,Caranx,Blue runner,FALSE
Carangoides fusus,synonym,1933,Caranx crysos,Teleostei,Carangiformes,Carangidae,Caranx,Blue runner,FALSE
Caranx fusus,synonym,1933,Caranx crysos,Teleostei,Carangiformes,Carangidae,Caranx,Blue runner,FALSE
Caranx pisquetus,synonym,1933,Caranx crysos,Teleostei,Carangiformes,Carangidae,Caranx,Blue runner,FALSE
Paratractus crysos,synonym,1933,Caranx crysos,Teleostei,Carangiformes,Carangidae,Caranx,Blue runner,FALSE
Scomber chrysos,synonym,1933,Caranx crysos,Teleostei,Carangiformes,Carangidae,Caranx,Blue runner,FALSE
Scomber crysos,synonym,1933,Caranx crysos,Teleostei,Carangiformes,Carangidae,Caranx,Blue runner,FALSE
Trachurus squamosus,synonym,1933,Caranx crysos,Teleostei,Carangiformes,Carangidae,Caranx,Blue runner,FALSE
Seriola carpenteri,accepted name,1959,Seriola carpenteri,Teleostei,Carangiformes,Carangidae,Seriola,Guinean amberjack,FALSE
Seriola rivoliana,accepted name,1007,Seriola rivoliana,Teleostei,Carangiformes,Carangidae,Seriola,Longfin yellowtail,FALSE
Seriola bonariensis,synonym,1007,Seriola rivoliana,Teleostei,Carangiformes,Carangidae,Seriola,Longfin yellowtail,FALSE
Seriola bovinoculata,synonym,1007,Seriola rivoliana,Teleostei,Carangiformes,Carangidae,Seriola,Longfin yellowtail,FALSE
Seriola colburni,synonym,1007,Seriola rivoliana,Teleostei,Carangiformes,Carangidae,Seriola,Longfin yellowtail,FALSE
Seriola coronata,synonym,1007,Seriola rivoliana,Teleostei,Carangiformes,Carangidae,Seriola,Longfin yellowtail,FALSE
Seriola declivis,synonym,1007,Seriola rivoliana,Teleostei,Carangiformes,Carangidae,Seriola,Longfin yellowtail,FALSE
Seriola dubia,synonym,1007,Seriola rivoliana,Teleostei,Carangiformes,Carangidae,Seriola,Longfin yellowtail,FALSE
Seriola falcata,synonym,1007,Seriola rivoliana,Teleostei,Carangiformes,Carangidae,Seriola,Longfin yellowtail,FALSE
Seriola ligulata,synonym,1007,Seriola rivoliana,Teleostei,Carangiformes,Carangidae,Seriola,Longfin yellowtail,FALSE
Seriola proxima,synonym,1007,Seriola rivoliana,Teleostei,Carangiformes,Carangidae,Seriola,Longfin yellowtail,FALSE
Seriola ravoliana,synonym,1007,Seriola rivoliana,Teleostei,Carangiformes,Carangidae,Seriola,Longfin yellowtail,FALSE
Seriola rivolacea,synonym,1007,Seriola rivoliana,Teleostei,Carangiformes,Carangidae,Seriola,Longfin yellowtail,FALSE
Seriola rivolina,synonym,1007,Seriola rivoliana,Teleostei,Carangiformes,Carangidae,Seriola,Longfin yellowtail,FALSE
Seriola songoro,synonym,1007,Seriola rivoliana,Teleostei,Carangiformes,Carangidae,Seriola,Longfin yellowtail,FALSE
Trachurus picturatus,accepted name,1279,Trachurus picturatus,Teleostei,Carangiformes,Carangidae,Trachurus,Blue jack mackerel,FALSE
Caranx cuvieri,synonym,1279,Trachurus picturatus,Teleostei,Carangiformes,Carangidae,Trachurus,Blue jack mackerel,FALSE
Caranx melanosaurus,synonym,1279,Trachurus picturatus,Teleostei,Carangiformes,Carangidae,Trachurus,Blue jack mackerel,FALSE
Caranx suareus,synonym,1279,Trachurus picturatus,Teleostei,Carangiformes,Carangidae,Trachurus,Blue jack mackerel,FALSE
Seriola picturata,synonym,1279,Trachurus picturatus,Teleostei,Carangiformes,Carangidae,Trachurus,Blue jack mackerel,FALSE
Trachurus fallax,synonym,1279,Trachurus picturatus,Teleostei,Carangiformes,Carangidae,Trachurus,Blue jack mackerel,FALSE
Trachurus melanosaurus,synonym,1279,Trachurus picturatus,Teleostei,Carangiformes,Carangidae,Trachurus,Blue jack mackerel,FALSE
Trachurus rissoi,synonym,1279,Trachurus picturatus,Teleostei,Carangiformes,Carangidae,Trachurus,Blue jack mackerel,FALSE
Trachurus suareus,synonym,1279,Trachurus picturatus,Teleostei,Carangiformes,Carangidae,Trachurus,Blue jack mackerel,FALSE
Coryphaena hippurus,accepted name,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Coriphaena hippurus,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Corypaena hippurua,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Coryphaena argyrurus,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Coryphaena chrysurus,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Coryphaena dolfyn,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Coryphaena dorado,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Coryphaena fasciolata,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Coryphaena hipporus,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Coryphaena hyppurus,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Coryphaena immaculata,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Coryphaena imperialis,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Coryphaena japonica,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Coryphaena margravii,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Coryphaena nortoniana,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Coryphaena scomberoides,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Coryphaena suerii,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Coryphaena virgata,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Coryphaena vlamingii,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Lampugus siculus,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Lepimphis hippuroides,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Scomber pelagicus,synonym,6,Coryphaena hippurus,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Common dolphinfish,FALSE
Makaira nigricans,accepted name,216,Makaira nigricans,Teleostei,Carangiformes,Istiophoridae,Makaira,Blue marlin,FALSE
Histiophorus herschelii,synonym,216,Makaira nigricans,Teleostei,Carangiformes,Istiophoridae,Makaira,Blue marlin,FALSE
Maikaira nigricans,synonym,216,Makaira nigricans,Teleostei,Carangiformes,Istiophoridae,Makaira,Blue marlin,FALSE
Makaira ampla,synonym,216,Makaira nigricans,Teleostei,Carangiformes,Istiophoridae,Makaira,Blue marlin,FALSE
Makaira ampla ampla,synonym,216,Makaira nigricans,Teleostei,Carangiformes,Istiophoridae,Makaira,Blue marlin,FALSE
Makaira bermudae,synonym,216,Makaira nigricans,Teleostei,Carangiformes,Istiophoridae,Makaira,Blue marlin,FALSE
Makaira ensis,synonym,216,Makaira nigricans,Teleostei,Carangiformes,Istiophoridae,Makaira,Blue marlin,FALSE
Makaira herschelii,synonym,216,Makaira nigricans,Teleostei,Carangiformes,Istiophoridae,Makaira,Blue marlin,FALSE
Makaira nigricans ampla,synonym,216,Makaira nigricans,Teleostei,Carangiformes,Istiophoridae,Makaira,Blue marlin,FALSE
Makaira nigricans nigricans,synonym,216,Makaira nigricans,Teleostei,Carangiformes,Istiophoridae,Makaira,Blue marlin,FALSE
Makaira perezi,synonym,216,Makaira nigricans,Teleostei,Carangiformes,Istiophoridae,Makaira,Blue marlin,FALSE
Orthocraeros bermudae,synonym,216,Makaira nigricans,Teleostei,Carangiformes,Istiophoridae,Makaira,Blue marlin,FALSE
Tetrapturus amplus,synonym,216,Makaira nigricans,Teleostei,Carangiformes,Istiophoridae,Makaira,Blue marlin,FALSE
Tetrapturus herschelii,synonym,216,Makaira nigricans,Teleostei,Carangiformes,Istiophoridae,Makaira,Blue marlin,FALSE
Xiphias ensis,synonym,216,Makaira nigricans,Teleostei,Carangiformes,Istiophoridae,Makaira,Blue marlin,FALSE
Micropterus salmoides,accepted name,3385,Micropterus salmoides,Teleostei,Centrarchiformes,Centrarchidae,Micropterus,Largemouth black bass,FALSE
Aplites salmoides,synonym,3385,Micropterus salmoides,Teleostei,Centrarchiformes,Centrarchidae,Micropterus,Largemouth black bass,FALSE
Grystes megastoma,synonym,3385,Micropterus salmoides,Teleostei,Centrarchiformes,Centrarchidae,Micropterus,Largemouth black bass,FALSE
Grystes nigricans,synonym,3385,Micropterus salmoides,Teleostei,Centrarchiformes,Centrarchidae,Micropterus,Largemouth black bass,FALSE
Grystes salmoides,synonym,3385,Micropterus salmoides,Teleostei,Centrarchiformes,Centrarchidae,Micropterus,Largemouth black bass,FALSE
Huro nigricans,synonym,3385,Micropterus salmoides,Teleostei,Centrarchiformes,Centrarchidae,Micropterus,Largemouth black bass,FALSE
Huro salmoides,synonym,3385,Micropterus salmoides,Teleostei,Centrarchiformes,Centrarchidae,Micropterus,Largemouth black bass,FALSE
Labrus salmoides,synonym,3385,Micropterus salmoides,Teleostei,Centrarchiformes,Centrarchidae,Micropterus,Largemouth black bass,FALSE
Micropterus salmoides salmoides,synonym,3385,Micropterus salmoides,Teleostei,Centrarchiformes,Centrarchidae,Micropterus,Largemouth black bass,FALSE
Perca nigricans,synonym,3385,Micropterus salmoides,Teleostei,Centrarchiformes,Centrarchidae,Micropterus,Largemouth black bass,FALSE
Catostomus commersonii,accepted name,2965,Catostomus commersonii,Teleostei,Cypriniformes,Catostomidae,Catostomus,White sucker,FALSE
Catostomus bostoniensis,synonym,2965,Catostomus commersonii,Teleostei,Cypriniformes,Catostomidae,Catostomus,White sucker,FALSE
Catostomus commersoni,synonym,2965,Catostomus commersonii,Teleostei,Cypriniformes,Catostomidae,Catostomus,White sucker,FALSE
Catostomus commersonii commersonii,synonym,2965,Catostomus commersonii,Teleostei,Cypriniformes,Catostomidae,Catostomus,White sucker,FALSE
Catostomus commersonnii,synonym,2965,Catostomus commersonii,Teleostei,Cypriniformes,Catostomidae,Catostomus,White sucker,FALSE
Catostomus commersonnii commersonnii,synonym,2965,Catostomus commersonii,Teleostei,Cypriniformes,Catostomidae,Catostomus,White sucker,FALSE
Catostomus richardsoni,synonym,2965,Catostomus commersonii,Teleostei,Cypriniformes,Catostomidae,Catostomus,White sucker,FALSE
Catostomus teres,synonym,2965,Catostomus commersonii,Teleostei,Cypriniformes,Catostomidae,Catostomus,White sucker,FALSE
Cyprinus commersonnii,synonym,2965,Catostomus commersonii,Teleostei,Cypriniformes,Catostomidae,Catostomus,White sucker,FALSE
Cyprinus teres,synonym,2965,Catostomus commersonii,Teleostei,Cypriniformes,Catostomidae,Catostomus,White sucker,FALSE
Ctenopharyngodon idella,accepted name,79,Ctenopharyngodon idella,Teleostei,Cypriniformes,Xenocyprididae,Ctenopharyngodon,Grass carp,TRUE
Ctenopharingodon idella,synonym,79,Ctenopharyngodon idella,Teleostei,Cypriniformes,Xenocyprididae,Ctenopharyngodon,Grass carp,TRUE
Ctenopharingodon idellus,synonym,79,Ctenopharyngodon idella,Teleostei,Cypriniformes,Xenocyprididae,Ctenopharyngodon,Grass carp,TRUE
Ctenopharygodon idella,synonym,79,Ctenopharyngodon idella,Teleostei,Cypriniformes,Xenocyprididae,Ctenopharyngodon,Grass carp,TRUE
Ctenopharyngodon idellos,synonym,79,Ctenopharyngodon idella,Teleostei,Cypriniformes,Xenocyprididae,Ctenopharyngodon,Grass carp,TRUE
Ctenopharyngodon idellus,synonym,79,Ctenopharyngodon idella,Teleostei,Cypriniformes,Xenocyprididae,Ctenopharyngodon,Grass carp,TRUE
Ctenopharyngodon laticeps,synonym,79,Ctenopharyngodon idella,Teleostei,Cypriniformes,Xenocyprididae,Ctenopharyngodon,Grass carp,TRUE
Leuciscus idella,synonym,79,Ctenopharyngodon idella,Teleostei,Cypriniformes,Xenocyprididae,Ctenopharyngodon,Grass carp,TRUE
Leuciscus idellus,synonym,79,Ctenopharyngodon idella,Teleostei,Cypriniformes,Xenocyprididae,Ctenopharyngodon,Grass carp,TRUE
Leuciscus tschiliensis,synonym,79,Ctenopharyngodon idella,Teleostei,Cypriniformes,Xenocyprididae,Ctenopharyngodon,Grass carp,TRUE
Pristiodon siemionovii,synonym,79,Ctenopharyngodon idella,Teleostei,Cypriniformes,Xenocyprididae,Ctenopharyngodon,Grass carp,TRUE
Sarcocheilichthys teretiusculus,synonym,79,Ctenopharyngodon idella,Teleostei,Cypriniformes,Xenocyprididae,Ctenopharyngodon,Grass carp,TRUE
Diplodus cervinus,accepted name,2497,Diplodus cervinus,Teleostei,Eupercaria/misc,Sparidae,Diplodus,Zebra seabream,FALSE
Charax cervinus,synonym,2497,Diplodus cervinus,Teleostei,Eupercaria/misc,Sparidae,Diplodus,Zebra seabream,FALSE
Diplodus cervinus cervinus,synonym,2497,Diplodus cervinus,Teleostei,Eupercaria/misc,Sparidae,Diplodus,Zebra seabream,FALSE
Diplodus trifasciatus,synonym,2497,Diplodus cervinus,Teleostei,Eupercaria/misc,Sparidae,Diplodus,Zebra seabream,FALSE
Sargus cervinus,synonym,2497,Diplodus cervinus,Teleostei,Eupercaria/misc,Sparidae,Diplodus,Zebra seabream,FALSE
Sargus trifasciatus,synonym,2497,Diplodus cervinus,Teleostei,Eupercaria/misc,Sparidae,Diplodus,Zebra seabream,FALSE
Sparus trifasciatus,synonym,2497,Diplodus cervinus,Teleostei,Eupercaria/misc,Sparidae,Diplodus,Zebra seabream,FALSE
Diplodus sargus,accepted name,1753,Diplodus sargus,Teleostei,Eupercaria/misc,Sparidae,Diplodus,White seabream,FALSE
Diplodus sargus sargus,synonym,1753,Diplodus sargus,Teleostei,Eupercaria/misc,Sparidae,Diplodus,White seabream,FALSE
Sargus raucus,synonym,1753,Diplodus sargus,Teleostei,Eupercaria/misc,Sparidae,Diplodus,White seabream,FALSE
Sargus rondeletii,synonym,1753,Diplodus sargus,Teleostei,Eupercaria/misc,Sparidae,Diplodus,White seabream,FALSE
Sargus rondelettii,synonym,1753,Diplodus sargus,Teleostei,Eupercaria/misc,Sparidae,Diplodus,White seabream,FALSE
Sargus vetula,synonym,1753,Diplodus sargus,Teleostei,Eupercaria/misc,Sparidae,Diplodus,White seabream,FALSE
Sparus cinctus,synonym,1753,Diplodus sargus,Teleostei,Eupercaria/misc,Sparidae,Diplodus,White seabream,FALSE
Sparus sargus,synonym,1753,Diplodus sargus,Teleostei,Eupercaria/misc,Sparidae,Diplodus,White seabream,FALSE
Sparus varatulus,synonym,1753,Diplodus sargus,Teleostei,Eupercaria/misc,Sparidae,Diplodus,White seabream,FALSE
Boreogadus saida,accepted name,319,Boreogadus saida,Teleostei,Gadiformes,Gadidae,Boreogadus,Polar cod,FALSE
Boreogadus polaris,synonym,319,Boreogadus saida,Teleostei,Gadiformes,Gadidae,Boreogadus,Polar cod,FALSE
Gadus agilis,synonym,319,Boreogadus saida,Teleostei,Gadiformes,Gadidae,Boreogadus,Polar cod,FALSE
Gadus fabricii,synonym,319,Boreogadus saida,Teleostei,Gadiformes,Gadidae,Boreogadus,Polar cod,FALSE
Gadus saida,synonym,319,Boreogadus saida,Teleostei,Gadiformes,Gadidae,Boreogadus,Polar cod,FALSE
Merlangus polaris,synonym,319,Boreogadus saida,Teleostei,Gadiformes,Gadidae,Boreogadus,Polar cod,FALSE
Pollachius polaris,synonym,319,Boreogadus saida,Teleostei,Gadiformes,Gadidae,Boreogadus,Polar cod,FALSE
Eleginus nawaga,accepted name,314,Eleginus nawaga,Teleostei,Gadiformes,Gadidae,Eleginus,Navaga,FALSE
Eleginus navaga,synonym,314,Eleginus nawaga,Teleostei,Gadiformes,Gadidae,Eleginus,Navaga,FALSE
Eleginus navaga karaensis,synonym,314,Eleginus nawaga,Teleostei,Gadiformes,Gadidae,Eleginus,Navaga,FALSE
Eleginus navaga navaga,synonym,314,Eleginus nawaga,Teleostei,Gadiformes,Gadidae,Eleginus,Navaga,FALSE
Eleginus nawaga karaensis,synonym,314,Eleginus nawaga,Teleostei,Gadiformes,Gadidae,Eleginus,Navaga,FALSE
Gadus callarias nawaga,synonym,314,Eleginus nawaga,Teleostei,Gadiformes,Gadidae,Eleginus,Navaga,FALSE
Gadus navaga,synonym,314,Eleginus nawaga,Teleostei,Gadiformes,Gadidae,Eleginus,Navaga,FALSE
Gadus nawaga,synonym,314,Eleginus nawaga,Teleostei,Gadiformes,Gadidae,Eleginus,Navaga,FALSE
Lepadogaster lepadogaster,accepted name,643,Lepadogaster lepadogaster,Teleostei,Gobiesociformes,Gobiesocidae,Lepadogaster,Shore clingfish,FALSE
Cyclopterus lepadogaster,synonym,643,Lepadogaster lepadogaster,Teleostei,Gobiesociformes,Gobiesocidae,Lepadogaster,Shore clingfish,FALSE
Cyclopterus lepodogaster,synonym,643,Lepadogaster lepadogaster,Teleostei,Gobiesociformes,Gobiesocidae,Lepadogaster,Shore clingfish,FALSE
Lepadogaster acutus,synonym,643,Lepadogaster lepadogaster,Teleostei,Gobiesociformes,Gobiesocidae,Lepadogaster,Shore clingfish,FALSE
